Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,88.2386,86.0256,81.0868,71.4392,55.6793,91.0222,71.8918,44.8122,74.3903,62.7353,37.2486,89.6125,56.0758,48.6687,84.3558,67.1402,43.1533,58.3626,77.5374,79.337,63.2252
46.875,78.5912,71.6238,86.5038,81.5136,48.2378,55.8323,73.5084,52.3636,53.9316,79.0334,58.6374,61.3617,36.6977,83.1717,59.516,32.8952,46.7734,82.158,65.7618,52.1427,84.6602
62.5,87.8316,88.6809,66.2144,78.8802,49.7183,70.522,55.1003,50.5147,65.4151,55.1351,36.2299,64.4051,56.0571,60.5487,63.0032,39.5812,39.1063,59.2682,54.5389,84.9368,62.6146
78.125,67.6968,51.5575,73.6971,66.6826,46.9739,61.4181,59.0968,38.6115,57.8841,62.3889,42.6836,58.3796,36.0965,54.1851,78.6671,49.3618,42.2548,51.2965,69.1617,62.3128,68.4589
93.75,76.5916,72.3493,63.5711,70.9956,35.9496,50.6991,53.9531,41.1317,51.7378,53.7495,41.2185,61.3446,47.1986,66.7419,53.5213,40.1096,43.4339,68.1759,54.1878,54.8032,54.8591
109.375,62.0257,55.3023,66.1995,58.2207,55.3134,57.0569,59.2147,44.7038,55.8429,53.9471,32.5514,47.4773,24.6617,47.7029,46.4846,33.1829,27.2409,45.5096,54.7878,73.2576,55.6339
125,58.4979,48.7139,50.7975,55.6921,28.1894,53.9069,35.9477,29.9727,40.0392,47.4427,34.2598,43.906,52.8681,49.6278,57.9989,35.4517,43.1324,53.8078,48.8686,29.1529,44.9711
140.625,59.6282,55.4452,48.6058,45.833,43.0996,41.1287,52.3704,34.3889,41.0171,43.929,35.9623,45.683,23.9274,45.374,48.7896,29.529,31.9185,39.7081,37.2808,39.7746,45.1934
156.25,44.1845,44.4578,53.6049,55.3034,40.4821,40.8543,40.5013,25.6401,40.4835,28.8161,29.2601,40.5807,36.3008,32.8012,27.3354,29.6054,29.1461,52.547,42.6579,42.2632,46.3604
171.875,47.0021,30.6866,41.0669,22.5892,17.7617,34.2971,25.1938,25.5775,20.768,29.4731,18.9988,28.0873,30.5376,33.3226,33.2583,27.4109,23.5158,20.8038,35.6176,48.6876,23.27
187.5,38.5185,28.2198,23.1834,37.8792,34.9105,23.0478,30.9498,29.2854,29.4888,21.6114,29.8122,35.4366,10.7056,20.8001,23.6005,16.2096,25.619,41.8447,24.0102,16.7376,38.0658
203.125,24.7215,36.0339,19.4828,12.3847,18.4823,16.418,12.5551,15.7466,35.1587,25.0803,25.9487,10.8646,38.6628,25.5022,25.1758,23.5916,13.7546,6.9386,18.6937,29.5838,14.6887
218.75,17.269,14.6519,38.7047,20.4676,25.7375,12.3941,26.0963,22.1603,24.6075,13.8056,12.6819,20.9813,5.5779,21.5673,23.3931,17.5829,16.2525,26.6832,17.3318,20.8814,23.2748
234.375,29.0099,24.3963,17.0282,23.1646,15.4823,20.3299,5.221,20.1982,23.6915,16.1452,19.1839,16.7249,14.9999,28.1016,15.198,20.4002,17.8922,22.6191,7.5888,14.2378,7.7638
250,15.481,21.4349,17.0876,3.5069,6.1911,14.4132,33.3329,25.771,15.852,11.1349,25.1532,10.6112,12.1135,37.5788,36.7327,4.1552,24.0038,10.5564,22.4217,28.1578,34.6792
265.625,23.5492,5.6678,27.1055,31.9072,36.7503,23.9491,5.7875,10.7181,19.3528,12.006,5.1008,24.2591,26.7024,37.7892,12.4037,35.7039,36.3183,24.1174,5.0354,47.8452,17.8369
